Time,S,T,T1,P,V,I
11:44,786,"42,7","47,7","4065,91761513853","622,585660590518","6,5306958905575"
11:49,797,"42,8","47,8","4121,52156377944","623,137214387597","6,61414768467963"
11:53,813,"42,6","47,6","4201,39064495286","625,760222923146","6,71405834223002"
11:59,824,43,48,"4262,36550280685","622,325046498322","6,84909843624355"
12:04,842,"44,1","49,1","4357,40617600981","600,160717426403","7,26039883898958"
12:09,852,"44,5","49,5","4407,8822537096","599,881298666586","7,34792410349752"
12:13,856,"45,5","50,5","4424,39830140733","598,866127544306","7,3879588407344"
12:19,875,"44,7","49,7","4529,55183458739","604,866760435509","7,48851173657828"
12:24,849,45,50,"4387,69696136942","597,001380275165","7,3495591573793"
12:28,863,"45,5","50,5","4440,50721793925","586,639073705386","7,56940240937531"
12:33,819,"45,5","50,5","4224,96962741035","592,596259292905","7,12959213149885"
12:39,876,"45,4","50,4","4509,63382928482","587,560334772964","7,67518425325182"
12:44,915,"47,5","52,5","4712,09744513884","590,055145468773","7,98585942572416"
12:48,846,"47,1","52,1","4363,17874620137","594,517539627899","7,33902442799624"
12:54,907,"48,4","53,4","4672,20492447689","599,64942321299","7,79156077469846"
12:59,932,"49,3","54,3","4788,60148891891","586,529635110315","8,1642958893599"
13:03,967,"48,6","53,6","4976,07832861815","591,891198127611","8,40708282934344"
13:08,952,48,53,"4903,53283117661","593,275766144133","8,26518309191365"
13:14,903,"49,3","54,3","4646,09584647899","596,924666275","7,78338726639008"
13:19,919,50,55,"4713,98998568368","603,903332902585","7,80586847074761"
13:23,918,"48,6","53,6","4706,66249572905","580,374731818395","8,10969574947279"
13:29,759,48,53,"3900,31437420585","608,724876526737","6,40735170289125"
13:34,982,"46,6","51,6","5066,59915985586","597,129740991903","8,48492180516689"
13:39,943,"49,2","54,2","4849,33327851055","590,202021873487","8,21639557098981"
13:43,892,"50,1","55,1","4584,70173696407","594,25520038682","7,71503847838393"
13:49,986,"50,4","55,4","5056,39280492904","599,915946236677","8,42850208708105"
13:54,937,"50,8","55,8","4793,6638348217","604,745804641106","7,92674177817002"
13:58,973,"50,2","55,2","4997,17267668875","591,134444845478","8,45352985308614"
14:03,1016,"50,8","55,8","5201,98786700644","600,405171560195","8,6641290138936"
14:09,446,"50,5","55,5","2241,53288767406","565,987630335769","3,96039200776223"
14:14,715,50,55,"3668,29798557505","588,305170224105","6,23536588022449"
14:18,623,"48,5","53,5","3193,06967976503","598,342532455915","5,33652466031284"
14:24,955,"47,7","52,7","4916,70063294568","590,312559341452","8,32897853034113"
14:29,925,"49,4","54,4","4746,15670780621","582,603665477622","8,14645871463112"
14:33,956,50,55,"4911,52966976646","590,259311316267","8,32096940379278"
14:38,902,"50,5","55,5","4617,17149198503","577,840161953987","7,99039560762254"
14:44,828,51,56,"4248,94942910632","587,143425737642","7,2366465208535"
14:49,790,"49,5","54,5","4050,93123689708","606,599385473124","6,6780998034436"
14:53,770,"47,3","52,3","3967,97053282966","594,266479568357","6,67708960416508"
14:59,892,"47,9","52,9","4598,6196808072","599,179457261841","7,67486205522165"
15:04,936,"49,2","54,2","4813,04840751948","589,618786741012","8,16298346618592"
15:09,976,"50,3","55,3","5004,78286010946","601,28083966936","8,32353624117069"
15:13,857,"51,1","56,1","4398,60515729621","589,47775355683","7,46186795134442"
15:19,814,"50,1","55,1","4179,26743951569","585,869630325501","7,1334427032747"
15:24,932,"51,4","56,4","4778,39052410336","585,16719661008","8,16585507831771"
15:28,859,"49,7","54,7","4417,34359908427","592,177085177239","7,45949769022581"
15:33,903,"50,1","55,1","4626,70884812589","605,999875267533","7,63483465418755"
15:39,818,50,55,"4202,63297301273","588,575315375357","7,14034867454908"
15:44,863,"49,3","54,3","4440,14649860932","592,51199010748","7,49376649374453"
15:48,853,"50,4","55,4","4382,4765209176","593,738823935258","7,38115202214816"
15:54,743,"51,2","56,2","3788,51647729321","606,397638156973","6,24757789098201"
15:59,726,"50,1","55,1","3726,16449655253","590,780814064247","6,30718602880578"
16:03,567,49,54,"2896,69168565142","592,875132504648","4,88583772001723"
16:08,572,"46,7","51,7","2930,42623139668","592,297239935862","4,94756016711137"
16:14,482,"44,9","49,9","2447,65050540605","580,427243242878","4,21698073944789"
16:19,629,"44,2","49,2","3240,40349644505","611,033774789962","5,30314956412829"
16:23,708,"44,2","49,2","3658,26010098169","601,430943339867","6,08259375659428"
16:29,650,"44,6","49,6","3347,79682719974","612,769809388829","5,46338408959606"
